A CHRISTMAS CAROL	クリスマス・カロル
and have the merriest time in all the world!'	そして、世界中で一番面白い聖降誕祭をするのね。」
`You are quite a woman, little Fan!'	「お前はもうすっかり大人だね、ファン！」
exclaimed the boy.	と、少年は叫んだ。
She clapped her hands and laughed,	彼女は手を打って笑った。
and tried to touch his head;	そして、彼の頭に触ろうとしたが、
but being too little, laughed again, and stood on tiptoe to embrace him.	あまり小さかったので、また笑って爪先で立ち上りながら、やっと彼を抱擁した。
Then she began to drag him, in her childish eagerness, towards the door;	それから彼女はいかにも子供らしく一生懸命に彼を戸口の方へ引っ張って行った。
and he, nothing loth to go, accompanied her.	で、彼は得たり賢しと彼女に随って出て行った。
A terrible voice in the hall cried.	誰かが玄関で
`Bring down Master Scrooge's box, there!'	「スクルージさんの鞄を下ろして来い、そら！」
and in the hall appeared the schoolmaster himself,	そして、その広間のうちに校長自身が現れた。
who glared on Master Scrooge with a ferocious condescension,	校長は見るも怖ろしいような謙譲の態度で少年スクルージを睨め附けた。
and threw him into a dreadful state of mind by shaking hands with him.	そして、彼と握手をすることに依ってすっかり彼を慄え上がらせてしまった。
He then conveyed him and his sister into the veriest old well of a shivering best-parlour that ever was seen,	それから彼は少年とその妹とを、それこそ本当にかつてこの世に存在した最も古井戸らしい古井戸と云っても可いような寒々しい最上の客間へ連れ込んだ。
where the maps upon the wall, and the celestial and terrestrial globes in the windows, were waxy with cold.	そこには壁に地面が掛けてあり、窓には天体儀と地球儀とが置いてあったが、両方とも寒さで蝋のようになっていた。
Here he produced a decanter of curiously light wine, and a block of curiously heavy cake, and administered installments of those dainties to the young people:	ここで校長はへんてこに軽い葡萄酒の容器と、へんてこに重い菓子の一塊片（ひとかけら）とを持ち出して、若い人々にそれ等の御馳走を一人分ずつ分けて遣った。
at the same time, sending out a meagre servant to offer a glass of something to the postboy,	と同時に馭者のところへも『何物か』の一杯を瘠せこけた下男に持たせてやった。
who answered that he thanked the gentleman, but if it was the same tap as he had tasted before, he had rather not.	ところが、馭者は、それは有難う御座いますが、この前戴いたのと同じ口のお酒でしたら、もう戴かない方が結構でと答えたものだ。
Master Scrooge's trunk being by this time tied on to the top of the chaise, the children bade the schoolmaster good-bye right willingly;	少年スクルージの革鞄はその時分にはもう馬車の頂辺に括り着けられていたので、子供達はただもう心から悦んで校長に暇を告げた。
and getting into it, drove gaily down the garden-sweep:	そして、それに乗り込んで、菜園の中の曲路を笑いさざめきながら駆り去った。
the quick wheels dashing the hoar-frost and snow from off the dark leaves of the evergreens like spray.	廻転のはやい車輪は、常磐木の黒ずんだ葉から水烟のように霜だの雪だのを蹴散らして行った。
`Always a delicate creature, whom a breath might have withered,'	「いつも脾弱（ひよわ）な、一と吹きの風にも萎んでしまいそうな児だった」
said the Ghost.	と、幽霊は云った、
`But she had a large heart.'	「だが、心は大きな児だよ！」
`So she had,'	「左様でした」
cried Scrooge.	と、スクルージは叫んだ、
`You're right.	「仰しゃる通りです。
I will not gainsay it, Spirit.	私はそれを否認しようとは思いません、精霊どの。
God forbid.'	いやもう決して！」
`She died a woman,'	「彼女は一人前になって死んだ」
said the Ghost,	と、幽霊は云った、
`and had, as I think, children.'	「そして、子供達もあったと思うがね。」
`One child,'	「一人です」
Scrooge returned.	と、スクルージは答えた。
`True,'	「いかにも、」
said the Ghost.	と、幽霊は云った。
`Your nephew.'	「お前さんの甥だ！」
Scrooge seemed uneasy in his mind;	スクルージは心中不安げに見えた。
and answered briefly,	そして、簡単に
`Yes.'	「そうです」
Although they had but that moment left the school behind them, they were now in the busy thoroughfares of a city,	彼等はその瞬間学校を後にして出て来たばかりなのに、今はある都会の賑やかな大通りに立っていた。
where shadowy passengers passed and repassed;	そこには影法師のような往来の人が頻りに往ったり来たりしていた。
where shadowy carts and coaches battle for the way, and all the strife and tumult of a real city were.	そこにはまた影法師のような荷車や馬車が道を争って、あらゆる実際の都市の喧騒と雑閙とがあった。
