Cracking DES	DESをクラック
He was an early employee of Sun Microsystems, and co-founded Cygnus Solutions, the Electronic Frontier Foundation, the Cypherpunks, and the Internet's "alt" newsgroups.	かれは初期のSun Microsystems 社員であり、Cygnus Solutions, the Electronic Frontier Foundation, the Cypherpunks, インターネットの "alt" ニュースグループの共同創始者である。
He has twenty-five years of experience in the computer industry, including programming, hardware and software design, and management.	コンピュータ産業では25年にわたる経験を持ち、プログラミング、ハード／ソフトの研究、マネジメントなどを経験。
He is a significant contributor to the worldwide open sourceware (free software) development effort.	世界のオープンソース（フリーソフト）開発に、大きな貢献をしている。
His advocacy efforts on encryption policy aim to improve public understanding of this fundamental technology for privacy and accountability in open societies.	かれの暗号政策支援は、オープンな社会におけるプライバシーとアカウンタビリティにとっての本質的な技術である暗号技術について、一般の理解を深めることを目標としている。
He is currently a board member of Moniker pty ltd, the Internet Society, and the Electronic Frontier Foundation.	現在はMoniker pty ltd, Internet Society, Electronic Frontier Foundationの顧問委員である。
John leads the EFF's efforts on cryptography policy, managed the creation of the DES cracker and wrote much of the text in this book.	John はEFF の暗号政策に関する動きを指導しており、DESクラッカーの製作をマネジメントして、本書の文章のかなりの部分を執筆している。
John can be reached at the email address gnu@des.toad.com;	Johnに連絡をとりたい場合には、以下のメールアドレスへどうぞ： gnu@des.toad.com;
his home page is http://www.cygnus.com/‾gnu/	またホームページは： http://www.cygnus.com/‾gnu/
Cryptography Research is Paul Kocher's San Francisco-based consulting company.	Cryptography Research はPaul Kocherのコンサルティング会社で、サンフランシスコにある。
Cryptography Research provides consulting, design, education, and analysis services to many leading firms and start-ups.	Cryptography Research は、多くの大企業や新興企業にたいしてコンサルティング、デザイン、教育、分析サービスを提供している。
Kocher and the company are widely known for their technical work and research,	Kocher と同社はその技術的な仕事と研究で広く知られている。
including the development of leading cryptographic protocols (such as SSL 3.0), cryptanalytic work (including the discovery of timing attacks against RSA and other cryptosystems), and numerous presentations at major conferences.	たとえば世界的な暗号プロトコル（SSL 3.0など）の開発や、暗号分析（たとえばRSAなどの暗号システムに対する時間計測攻撃の発見など）、そして大規模会議での無数のプレゼンテーションなど。
info@cryptography.com To reach Cryptography Research please write to info@cryptography.com.	Cryptography Researchへの連絡は、以下へメールでどうぞ。
Cryptography Research managed the hardware and software design for the DES cracker, and wrote the chip simulator and the driver software.	Cryptography Research は、DESクラッカーのハードとソフトの設計をマネジメントし、チップシミュレータとドライバソフトを書いた。
