Alice's Adventures in Wonderland	不思議の国のアリス
said Alice, in a coaxing tone, and she tried hard to whistle to it;	とアリスは、なだめるような声で言うと、いっしょうけんめい口ぶえをふいてやろうとしました。
but she was terribly frightened all the time at the thought that it might be hungry,	でも、そのとき、そのワンちゃんがおなかをすかせてたらどうしようとおもって、とてもこわかったのです。
in which case it would be very likely to eat her up in spite of all her coaxing.	もしそうなら、どんなになだめても、たぶんすぐにアリスを食べちゃうはずでしょう。
Hardly knowing what she did, she picked up a little bit of stick, and held it out to the puppy;	自分でもなぜだかわからないまま、アリスは小さな棒っきれをひろって、それをワンちゃんのほうにさしだしました。
whereupon the puppy jumped into the air off all its feet at once, with a yelp of delight, and rushed at the stick, and made believe to worry it;	するとワンちゃんは、四本足でぴょんととんで、うれしそうにほえると、棒っきれにかけよってきて、それにかまけてるふりをします。
then Alice dodged behind a great thistle, to keep herself from being run over;	そこでアリスは、おっきなイバラの後ろにかくれて、おしつぶされないようにしました。
and the moment she appeared on the other side, the puppy made another rush at the stick, and tumbled head over heels in its hurry to get hold of it;	反対側から出てきたとたんに、ワンちゃんはもう一回、棒っきれにとびついて、それをおさえようとして頭からゴロゴロころがってしまいました。
then Alice, thinking it was very like having a game of play with a cart-horse, and expecting every moment to be trampled under its feet, ran round the thistle again;	そしてアリスは、これはまるでばしゃ馬とあそんでるみたいで、いつふみつぶされるかわからないわ、と思いながら、またいばらのむこう側に走っていきました。
then the puppy began a series of short charges at the stick,	そしてワンちゃんは、何度か棒っきれにみじかくとっしんをくりかえします。
running a very little way forwards each time and a long way back, and barking hoarsely all the while,	前にはほんのちょっとだけすすんで、それからおもいっきりさがって、そのあいだずっとワンワンとほえていました。
till at last it sat down a good way off, panting, with its tongue hanging out of its mouth, and its great eyes half shut.	そしてとうとう、ずっとはなれたところですわりこみ、ベロをだらりとたらし、息をハアハアいわせて、おっきな目を半分とじています。
This seemed to Alice a good opportunity for making her escape;	これは、にげだすぜっこうのチャンスだとおもったので、
so she set off at once, and ran till she was quite tired and out of breath,	アリスはすぐにかけだして、かなりつかれて息がきれるまで、走りつづけました。
and till the puppy's bark sounded quite faint in the distance.	ワンちゃんのほえる声は、もう遠くでかすかにきこえるだけでした。
`And yet what a dear little puppy it was!'	「でも、すっごくかわいいワンちゃんだったなあ」
said Alice, as she leant against a buttercup to rest herself, and fanned herself with one of the leaves:	とアリスは考えながら、キンポウゲにもたれてやすんで、はっぱで自分をあおぎました。
`I should have liked teaching it tricks very much, if	「芸を教えたかったなあ
--if I'd only been the right size to do it!	――あたしさえちゃんとした大きさだったら！
Oh dear!	あ、そうだった！
I'd nearly forgotten that I've got to grow up again!	あたし、また大きくならないと！わすれるとこだったわ。
Let me see	さーて
--how IS it to be managed?	――どうすればいいのかな？
I suppose I ought to eat or drink something or other;	たぶんなんかしら、食べるかのむかすればいいんでしょうね。
but the great question is, what?'	でもなにを？それが大問題だわ」
The great question certainly was,	たしかにそれは大問題でした。
what?	なにを？
Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances.	まわりをぐるっと見ても、花やはっぱは目に入りますが、いまのじょうたいで食べたりのんだりするのによさそうなものは、なんにも見あたりません。
