Aesop's Fables	タウンゼント版イソップ寓話集
"Hark ye, old fellow, why, in striving to pry into what is in heaven, do you not manage to see what is on earth?'	「天国を覗くことばかりに、うつつを抜かしてないで、少しは足下に注意を払いなさいな」
The Wolves and the Sheep	６４．オオカミたちとヒツジたち
"WHY SHOULD there always be this fear and slaughter between us?"	ある時、オオカミたちが、ヒツジたちにこんなことを言った。
said the Wolves to the Sheep.	「君たちと我々の間に、恐怖と殺戮が蔓延しているのは何故か？
"Those evil-disposed Dogs have much to answer for.	……それは皆、イヌどものせいなのだ。
They always bark whenever we approach you and attack us	なぜなら、我々が、君たちに近づこうものなら、イヌどもは、我々に襲いかかって来る。
before we have done any harm.	我々が君たちに何かしたとでも言うのか？」
If you would only dismiss them from your heels, there might soon be treaties of peace and reconciliation between us."	「もし、君たちが、奴らを追い払ってくれるなら、我々と君たちの間には、和解と平和の協定が、すぐにでも、結ばれるだろう」
The Sheep, poor silly creatures, were easily beguiled and dismissed the Dogs,	ヒツジたちは、条理をわきまえぬ者たちばかりだったので、オオカミに簡単に欺かれ、イヌたちを追い払ってしまった。
whereupon the Wolves destroyed the unguarded flock at their own pleasure.	そして、守りのなくなったヒツジたちは、オオカミたちに、殺戮の限りを尽くされた。
The Old Woman and the Physician	６５．老婆と医者
AN OLD WOMAN having lost the use of her eyes, called in a Physician to heal them, and made this bargain with him in the presence of witnesses:	目を患った老婆が、医者を呼ぶと、証人の前で、次のような契約を結んだ。
that if he should cure her blindness, he should receive from her a sum of money;	もし、医者が目を治したなら、彼女はそれなりの金を支払う。
but if her infirmity remained, she should give him nothing.	しかし、治らなかったなら、金を支払う必要はない。
This agreement being made, the Physician, time after time, applied his salve to her eyes, and on every visit took something away, stealing all her property little by little.	このような契約の後、医者は、何度も老婆の許を訪れ、彼女の目に軟膏を塗ると、その隙に、いつも何かしら盗んだ。
And when he had got all she had, he healed her and demanded the promised payment.	医者は、徐々に盗んで行き、全てを盗み尽くし、もう盗む物がなくなってしまうと、老婆の目を治し、彼女に約束の金を要求した。
The Old Woman, when she recovered her sight and saw none of her goods in her house, would give him nothing.	しかし、老婆は、目が見えるようになると、家にあった品々が全て消えていることに気が付いた。
The Physician insisted on his claim, and.  as she still refused, summoned her before the Judge.	医者は、老婆に金を支払うようにと強く求めたが、老婆が支払いを拒んだので、彼女を裁判官の前へと引っぱり出した。
The Old Woman, standing up in the Court, argued:	裁判に立たされた老婆は、次のように反論した。
"This man here speaks the truth in what he says;	「この男の言う通り、目が見えるようになったら、それなりの金を払うと約束をしたのは確かです。
for I did promise to give him a sum of money if I should recover my sight:	その限りでは、この男の言うことに、間違いはありません。
but if I continued blind, I was to give him nothing.	しかし、目が治らなければ、払わずともよいことになっていたのです。
Now he declares that I am healed.	この男は、今、私の目を治したと宣言しましたが、
I on the contrary affirm that I am still blind;	そんなことはありません。
for when I lost the use of my eyes, I saw in my house various chattels and valuable goods:	と、言いますのも……目の見えていた頃には、私の家には、たくさんの品々があったのです。
but now, though he swears I am cured of my blindness, I am not able to see a single thing in it."	しかし、この男が、目を治したと宣言した今、それらの品が一つたりとて見えないのです」
The Fighting Cocks and the Eagle	６６．二羽のオンドリとワシ
TWO GAME COCKS were fiercely fighting for the mastery of the farmyard.	二羽のオンドリが、ボスの座を巡って激しく戦っていた。
One at last put the other to flight.	そしてついに、一方が、もう一方をうち破った。
The vanquished Cock skulked away and hid himself in a quiet corner,	負けたオンドリは、隅の方に隠れた。
while the conqueror, flying up to a high wall, flapped his wings and crowed exultingly with all his might.	一方、勝利したオンドリは、高い塀に飛び乗ると、羽をばたつかせて、我が世の春とばかりに雄叫びを上げた。
An Eagle sailing through the air pounced upon him and carried him off in his talons.	すると、空を滑空していたワシが、突然、オンドリに襲いかかり、鈎爪に引っかけてさらっていった。
