The Wizard of Oz	オズの魔法使い
The road was still paved with yellow brick, but these were much covered by dried branches and dead leaves from the trees, and the walking was not at all good.	道はまだ黄色いれんがが敷かれていましたが、木の枯れ枝や落ち葉でかなりおおわれていて、歩くのもずいぶんと苦労します。
There were few birds in this part of the forest,	森のこのあたりには鳥がほとんどおりません。
for birds love the open country where there is plenty of sunshine.	鳥はお日様のいっぱい当たる、開けた場所が好きなのです。
But now and then there came a deep growl from some wild animal hidden among the trees.	でもときどき、木の間にかくれている野生の動物がたてる深いうなり声が聞こえてきました。
These sounds made the little girl's heart beat fast,	そういう音は、少女の心臓をどきどきさせました。
for she did not know what made them;	どんな動物がその音をたてているかわからなかったからです。
but Toto knew, and he walked close to Dorothy's side, and did not even bark in return.	でもトトにはわかりましたので、ドロシーのとなりにぴったりくっついて、吠え返したりもしませんでした。
"How long will it be,"	「森から出るまでにあとどのくらい？」
the child asked of the Tin Woodman,	と子供はブリキの木こりにたずねます。
"I cannot tell,"	「わかりません」
was the answer,	というのが答えでした。
"for I have never been to the Emerald City.	「わたしはエメラルドの都に行ったことがありませんから。
But my father went there once, when I was a boy, and he said it was a long journey through a dangerous country,	でもお父さんが昔、わたしが子供の頃にでかけて、危険な国を通り抜ける長旅だったと言っていましたよ。
although nearer to the city where Oz dwells the country is beautiful.	でもオズの住む都の近くになるときれいだとのことです。
But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow,	でも、油のカンがある限りわたしはこわいものなしですし、だれもかかしにはけがをさせられません。
while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm."	あなたはおでこによい魔女のキスのしるしをつけているので、害から守ってもらえますよ」
"But Toto!"	「でもトトは？
said the girl anxiously.	トトは何が守ってくれるの？」
"What will protect him?"	と少女は心配そうに言いました。
"We must protect him ourselves if he is in danger,"	「トトが危険にあったら、わたしたちが守ってあげないといけませんね」
replied the Tin Woodman.	とブリキの木こりが答えました。
Just as he spoke there came from the forest a terrible roar, and the next moment a great Lion bounded into the road.	そう言ったそのとき、森からおそろしい吠え声が聞こえて、次の瞬間に大きなライオンが道に飛び出してきました。
With one blow of his paw he sent the Scarecrow spinning over and over to the edge of the road,	前足の一撃で、かかしはクルクルとふっとんで道の端に転がりました。
and then he struck at the Tin Woodman with his sharp claws.	それから鋭い爪をブリキの木こりに向かって振るいました。
