TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
"you will give up this wretched practice at once.	「君はその惨めな仕事をさっさとやめるんだね。
Tomorrow I start for Bristol.	私は明日ブリストルに行く。
In three weeks' time--three weeks!	三週間のうちに、三週間！
--two weeks--ten days	いや二週間、いや十日だ。
--we'll have the best ship, sir, and the choicest crew in England.	われわれはイギリスで最上の船で、とっておきの船員を手にいれるんだ。
Hawkins shall come as cabin-boy.	ホーキンズ君も客室のボーイとして一緒にくるんだ。
You'll make a famous cabin-boy, Hawkins.	ホーキンズ君、君はすてきなボーイになるよ。
You, Livesey, are ship's doctor;	リバシーさんは船医だ、
I am admiral.	私は提督だな。
We'll take Redruth, Joyce, and Hunter.	レッドルースとジョイス、それからハンターも連れて行こう。
We'll have favourable winds, a quick passage, and not the least difficulty in finding the spot,	順風満帆で、その場所も簡単にみつかるさ。
and money to eat, to roll in, to play duck and drake with ever after."	そしてそれから後は、食べて、贅沢にくらして、湯水のように使えるくらいの金を手に入れるんだ」
"Trelawney,"	「トレローニーさん」
said the doctor,	先生は言った。
"I'll go with you;	「ご一緒しますよ。
and I'll go bail for it, so will Jim,	ジムも行くことは請合いましょう。
and be a credit to the undertaking.	この冒険の名誉を担うでしょう。
There's only one man I'm afraid of."	でもたった一人だけ心配な人がいるんですよ」
"And who's that?"	「だれだい？」
cried the squire.	大地主さんはさけんだ。
"Name the dog, sir!"	「そいつの名前をいいたまえ、君！」
"You,"	「あなたですよ」
replied the doctor;	先生は答えた。
"for you cannot hold your tongue.	「あなたは黙っていられないお人だから。
We are not the only men who know of this paper.	この紙のことを知っているのは、私たちだけではないんです。
These fellows who attacked the inn tonight-- bold, desperate blades, for sure	今晩あの宿を襲ったやつら、乱暴な手におえないやつらですよ。
--and the rest who stayed aboard that lugger, and more, I dare say, not far off, are, one and all, through thick and thin, bound that they'll get that money.	たしかにあの小船に残っていたやつらも、それから言っておきますが、それほど遠くにいないやつらも一人残らず、なにがあろうと、その金を手に入れようとするでしょう。
We must none of us go alone till we get to sea.	海にでるまでは、誰も離れちゃいけません。
Jim and I shall stick together in the meanwhile;	ジムと私は、それまで一緒にいましょう。
you'll take Joyce and Hunter when you ride to Bristol,	あなたはジョイスとハンターと一緒にブリストルに行って下さい。
and from first to last, not one of us must breathe a word of what we've found."	最初から最後まで私たちの誰一人として、見つけたものについて一言でももらしちゃいけません」
"Livesey,"	「リバシーさん」
returned the squire,	大地主さんは答えた。
"you are always in the right of it.	「あなたのいうことはいつも正しい。
I'll be as silent as the grave."	わたしは墓場のように静かにしてることにするよ」
PART TWO    The Sea-cook	二部　船の料理番
7  I Go to Bristol	７ 僕はブリストルへ
IT was longer than the squire imagined ere we were ready for the sea,	僕らが航海へでる準備が整うまでには、大地主さんが予想したよりずっと時間がかかった。
and none of our first plans--not even Dr. Livesey's, of keeping me beside him--could be carried out as we intended.	僕たちが最初にたてた計画は、リバシー先生の計画、僕をずっとそばに置いておくというものさえもその通り実行できなかった。
The doctor had to go to London for a physician to take charge of his practice;	先生は自分の代わりになる医者を探しに、ロンドンに行かなければならなかったのだ。
the squire was hard at work at Bristol;	大地主さんはブリストルで大忙しだったし、
and I lived on at the hall under the charge of old Redruth, the gamekeeper, almost a prisoner,	僕は狩猟番のレッドルース爺さんの命令の下、屋敷でほとんど囚人のような暮らしを送っていた。
but full of sea-dreams and the most charming anticipations of strange islands and adventures.	でも航海の夢、まだ見たこともない島々、冒険のことを想像すると胸がいっぱいだった。
I brooded by the hour together over the map, all the details of which I well remembered.	僕は何時間もあの地図のことを考えてすごし、地図の細かい所にいたるまですっかり覚えてしまった。
Sitting by the fire in the housekeeper's room, I approached that island in my fancy from every possible direction;	使用人の部屋の暖炉の側に座って、僕は空想の中でありとあらゆる方向からその島に近づいたものだった。
