PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
But if it was the same one, it was Peter Pan's light.	いいえ、もしその明かりが別のものでなければ、ピーターパンの明かりでしょう。
Heaps of children have seen the fight, so that is nothing.	多くの子供たちがピーターが飛ぶところを見ていますから、それほど珍しいことでもありません。
But Maimie Mannering was the famous one for whom the house was first built.	でもマイミー・マナリングは、初めて家を建ててもらったことで有名でした。
Maimie was always rather a strange girl,	マイミーは、常日頃から変わったところのある女の子でした。
and it was at night that she was strange. She was four years of age, and in the daytime she was the ordinary kind.	４才で、昼間はいたって普通ですが、夜になると変わるのです。
She was pleased when her brother Tony, who was a magnificent fellow of six, took notice of her,	６才で素敵なお兄ちゃんのトニーがかまってくれると、マイミーはうれしがりましたし、お兄ちゃんをとても慕っていました。
and she looked up to him in the right way, and tried in vain to imitate him and was flattered rather than annoyed when he shoved her about.	お兄ちゃんの真似をしようとしますができなくて、お兄ちゃんにぐいっと押されてもいやがるどころかうれしがる始末でした。
Also, when she was batting she would pause though the ball was in the air to point out to you that she was wearing new shoes.	ボールを打つ時なんかも、ボールがまだ宙にあるというのに、新しい靴をはいてるのといって一休みしてしまいます。
She was quite the ordinary kind in the daytime.	昼間は、本当に普通の女の子なんです。
But as the shades of night fell, Tony, the swaggerer, lost his contempt for Maimie and eyed her fearfully,	でも夜のとばりがおりると、いばっていたトニーがマイミーを馬鹿にするどころか恐いものでも見るような目でみつめます。
