PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
"I want Peter Pan,	「わしが欲しいのはだ、ピーターパンだ。
who first gave the brute its taste for me."	元はといえばやつがやったんだ、あのワニがわしのことを好むようにな」
He sat down on a large mushroom,	フックは、大きなキノコの上に腰掛けていました。
and now there was a quiver in his voice.	そして今や少し震えてちょっとかすれた声で言いました。
"Smee," he said huskily, "that crocodile would have had me before this,	「スメー、あのワニはもっと前にわしをパクリとしてたことだろうよ。
but by a lucky chance it swallowed a clock which goes tick tick inside it,	でも運がいいことに時計まで飲み込みやがったのさ、中でチクタクと音がするんだ。
and so before it can reach me I hear the tick and bolt."	だからわしのところまで来る前に、わしはその音を聞きつけて逃げ出すといった具合だ」
He laughed, but in a hollow way.	フックはうつろな声で笑いました。
"Some day,"	「いつか」
said Smee,	スメーは言いました。
"the clock will run down, and then he'll get you."	「その時計も止まることでしょう、そしたらあのワニはおかしらをパクリと．．．」
Hook wetted his dry lips.	フックは乾いたくちびるをなめて、言いました。
"Ay," he said,	「ああ、
"that's the fear that haunts me."	そいつがわしに取りついて離れない恐怖なんだ」
Since sitting down he had felt curiously warm.	座りこんでからフックは妙にあたたかい感じがしていました。
"Smee," he said, "this seat is hot."	「スメー、ここはあたたかいな」
He jumped up.	とフックは飛びあがって言いました。
"Odds bobs,	「なんだ、どうした、あっちっち。
hammer and tongs I'm burning."	わしはもえてるぞい」
They examined the mushroom, which was of a size and solidity unknown on the mainland;	キノコを詳しく調べてみると、サイズといい固さといい現実の世界ではお目にかかれないようなもので、ひっこぬこうとするとすぐにひっこぬけました。
they tried to pull it up, and it came away at once in their hands,	ひっこぬこうとするとすぐにひっこぬけました。
for it had no root.	なにしろ根っこがありません。
Stranger still, smoke began at once to ascend.	もっとかわったことに、煙がすぐにたちのぼってきました。
The pirates looked at each other.	海賊たちは互いに目を合わせました。
"A chimney!"	「えんとつだ」
they both exclaimed.	２人とも叫びました。
They had indeed discovered the chimney of the home under the ground.	まさに地下の家のえんとつを見つけたのでした。
It was the custom of the boys to stop it with a mushroom when enemies were in the neighbourhood.	敵が近くにいるときは、キノコで煙突にふたをするのが男の子達の習慣でした。
