ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
"MY DEAR MR. SHERLOCK HOLMES,	親愛なるシャーロック・ホームズ様
--You really did it very well.	本当にお見事でした。
You took me in completely.	完全にだまされましたわ。
Until after the alarm of fire, I had not a suspicion.	火事騒ぎがあるまで気づきもしませんでした。
But then, when I found how I had betrayed myself, I began to think. I had been warned against you months ago.	しかしそこで、自分が秘密をうっかり漏らしてしまったと知った時、数ヶ月前にあなたに注意するように言われたことに考えが至りました。
I had been told that if the King employed an agent it would certainly be you.	陛下が捜査員を雇うとしたら間違いなくあなただろうと聞かされたのです。
And your address had been given me.	あなたの住所も教えていただきました。
Yet, with all this, you made me reveal what you wanted to know.	それなのに、これだけのことがあったのに、あなたはお知りになりたいことを私に白状させてしまいましたわね。
Even after I became suspicious, I found it hard to think evil of such a dear, kind old clergyman.	疑いを持っていたとはいえ、あのように愛らしい、親切な老牧師さんを悪く思うなんて難しいことでした。
But, you know, I have been trained as an actress myself.	でもほら、わたくし女優の訓練を受けてますでしょう。
Male costume is nothing new to me.	男装も珍しいことではありませんの。
I often take advantage of the freedom which it gives.	よくそうして自由を楽しんでいます。
I sent John, the coachman, to watch you, ran up stairs, got into my walking-clothes, as I call them, and came down just as you departed.	御者のジョンをやってあなたを見張らせ、二階へ駆け上がり、散歩服と呼んでいるものを着て、ちょうどあなたが出て行かれたところへ下りてゆきました。
"Well, I followed you to your door, and so made sure that I was really an object of interest to the celebrated Mr. Sherlock Holmes.	さて、わたくしはお宅まであなたを尾行し、わたくしが実際に有名なシャーロック・ホームズさんの関心の対象であることを確かめました。
Then I, rather imprudently, wished you good-night, and started for the Temple to see my husband.	それからわたくし、ちょっと軽率でしたがごあいさつをして、夫に会うためテンプルへ向かいました。
"We both thought the best resource was flight, when pursued by so formidable an antagonist;	このように手ごわい相手に追求されているんですもの、わたくしたちは二人とも逃げるのがいちばんと考えました。
so you will find the nest empty when you call to-morrow.	そうすれば明日あなたがいらした時には巣は空っぽです。
As to the photograph, your client may rest in peace.	あの写真のことでしたら、あなたの依頼人は安心していいでしょう。
I love and am loved by a better man than he.	わたくしにはあの人より立派な、愛し愛される方がおります。
The King may do what he will without hindrance from one whom he has cruelly wronged.	国王陛下には、ひどい仕打ちをなさってきた者は邪魔をいたしませぬゆえ、お好きなようになさいますよう。
I keep it only to safeguard myself, and to preserve a weapon which will always secure me from any steps which he might take in the future.	わたくしはただただ身を守るため、将来陛下がどのような手段をとられても永久にわたくしを守る武器を保持するため、あれは取っておきます。
I leave a photograph which he might care to possess;	陛下はお望みかしら、一枚写真を残します。
and I remain, dear Mr. Sherlock Holmes,	シャーロック・ホームズ様のご多幸をお祈り申し上げます。
"Very truly yours,	かしこ
"What a woman--oh, what a woman!"	「何という女−−ああ、何という女だろう！」
cried the King of Bohemia, when we had all three read this epistle.	私たち三人がこの書簡を読み終えた時、ボヘミア王が叫んだ。
"Did I not tell you how quick and resolute she was?	「彼女がどんなに利口で毅然としているか、言わなかったかな？
Would she not have made an admirable queen?	すばらしい王妃になったろうに。
Is it not a pity that she was not on my level?"	彼女が私と同格でなかったのが残念ですねえ？」
"From what I have seen of the lady she seems indeed to be on a very different level to your Majesty,"	「僕の見たところでは、実際あの婦人は陛下とはまったく格が違いますね」
said Holmes coldly.	とホームズは冷たく言った。
"I am sorry that I have not been able to bring your Majesty's business to a more successful conclusion."	「陛下の用件をより成功裏に終えることができなくて申し訳ありません。」
"On the contrary, my dear sir,"	「それどころか、ねえ君、」
cried the King;	王は叫んだ、
"nothing could be more successful.	「これ以上の成功はないよ。
I know that her word is inviolate.	彼女の言葉は神聖ですからね。
The photograph is now as safe as if it were in the fire."	写真はもう火に投じたも同じ、安全だよ。」
"I am glad to hear your Majesty say so."	「陛下にそう言っていただくと嬉しいです。」
"I am immensely indebted to you.	「大変感謝しますよ。
Pray tell me in what way I can reward you.	どうかどんなふうに報いたらいいか言ってください。
This ring--"	この指輪−−」
He slipped an emerald snake ring from his finger and held it out upon the palm of his hand.	彼はエメラルドのスネークリングを指からはずし、手のひらにのせて差し出した。
"Your Majesty has something which I should value even more highly,"	「僕がさらに高く評価するものを陛下はお持ちです。」
"You have but to name it."	「何でも言ってください。」
"This photograph!"	「この写真です！」
The King stared at him in amazement.	ボヘミア王は驚いて彼を見つめた。
"Irene's photograph!"	「アイリーンの写真！」
